"filename", "language", "JSON", "SCSS", "TypeScript", "JavaScript", "HTML", "Markdown", "comment", "blank", "total"
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\README.md", "Markdown", 0, 0, 0, 0, 0, 14, 0, 14, 28
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\angular.json", "JSON", 115, 0, 0, 0, 0, 0, 21, 0, 136
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\e2e\protractor.conf.js", "JavaScript", 0, 0, 0, 24, 0, 0, 6, 2, 32
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\e2e\src\app.e2e-spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 1, 5, 24
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\e2e\src\app.po.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 3, 12
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\e2e\tsconfig.json", "JSON", 13, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\karma.conf.js", "JavaScript", 0, 0, 0, 29, 0, 0, 2, 2, 33
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\package-lock.json", "JSON", 23516, 0, 0, 0, 0, 0, 0, 1, 23517
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\package.json", "JSON", 111, 0, 0, 0, 0, 0, 0, 1, 112
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\Dialogs\ConfirmDialog\confirm-dialog.component.html", "HTML", 0, 0, 0, 0, 10, 0, 0, 0, 10
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\Dialogs\ConfirmDialog\confirm-dialog.component.ts", "TypeScript", 0, 0, 37, 0, 0, 0, 0, 1, 38
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\Dialogs\ConfirmDialog\confirm-dialog.module.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 1, 22
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\Dialogs\ConfirmDialog\confirm-dialog.service.ts", "TypeScript", 0, 0, 26, 0, 0, 0, 0, 2, 28
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\Dialogs\SuccessDialog\success-dialog.component.html", "HTML", 0, 0, 0, 0, 9, 0, 1, 0, 10
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\Dialogs\SuccessDialog\success-dialog.component.ts", "TypeScript", 0, 0, 40, 0, 0, 0, 0, 1, 41
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\Dialogs\SuccessDialog\success-dialog.module.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 1, 22
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\Dialogs\SuccessDialog\success-dialog.service.ts", "TypeScript", 0, 0, 26, 0, 0, 0, 0, 4, 30
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\Models\Farm.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 1, 17
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\Models\FarmTypes.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 1, 5
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\Models\InsuranceProviders.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 2, 21
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\Models\Provinces.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 1, 5
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\Models\register.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 1, 11
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\app-routing.module.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 4, 22
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\app.component.html", "HTML", 0, 0, 0, 0, 45, 0, 0, 3, 48
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\app.component.scss", "SCSS", 0, 35, 0, 0, 0, 0, 0, 5, 40
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\app.component.spec.ts", "TypeScript", 0, 0, 31, 0, 0, 0, 0, 5, 36
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\app.component.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 2, 11
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\app.module.ts", "TypeScript", 0, 0, 94, 0, 0, 0, 0, 3, 97
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\app.settings.model.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 13
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\app.settings.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 3, 21
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\farm\farm.component.html", "HTML", 0, 0, 0, 0, 53, 0, 0, 1, 54
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\farm\farm.component.scss", "SCSS", 0, 26, 0, 0, 0, 0, 0, 5, 31
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\farm\farm.component.spec.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 6, 26
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\farm\farm.component.ts", "TypeScript", 0, 0, 126, 0, 0, 0, 0, 27, 153
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\farm\farm.module.ts", "TypeScript", 0, 0, 49, 0, 0, 0, 0, 4, 53
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\farm\farmService.service.ts", "TypeScript", 0, 0, 45, 0, 0, 0, 1, 12, 58
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\insurance-provider\insurance-provider.component.html", "HTML", 0, 0, 0, 0, 52, 0, 2, 3, 57
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\insurance-provider\insurance-provider.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 2, 2
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\insurance-provider\insurance-provider.component.spec.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 6, 26
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\insurance-provider\insurance-provider.component.ts", "TypeScript", 0, 0, 70, 0, 0, 0, 0, 13, 83
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\insurance-provider\insurance.module.ts", "TypeScript", 0, 0, 41, 0, 0, 0, 0, 4, 45
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\login\login.component.html", "HTML", 0, 0, 0, 0, 28, 0, 0, 1, 29
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\login\login.component.scss", "SCSS", 0, 8, 0, 0, 0, 0, 0, 4, 12
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\login\login.component.spec.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 6, 26
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\login\login.component.ts", "TypeScript", 0, 0, 66, 0, 0, 0, 2, 13, 81
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\login\login.module.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 3, 24
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\logout\logout.component.html", "HTML", 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\logout\logout.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\logout\logout.component.spec.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 6, 26
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\logout\logout.component.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 1, 7, 27
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\mainService.service.ts", "TypeScript", 0, 0, 86, 0, 0, 0, 0, 14, 100
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\profile\profile.component.html", "HTML", 0, 0, 0, 0, 33, 0, 15, 1, 49
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\profile\profile.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 2, 2
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\profile\profile.component.spec.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 6, 26
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\profile\profile.component.ts", "TypeScript", 0, 0, 117, 0, 0, 0, 23, 23, 163
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\profile\profile.module.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 3, 24
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\register\register.component.html", "HTML", 0, 0, 0, 0, 53, 0, 0, 1, 54
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\register\register.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 2, 2
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\register\register.component.spec.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 6, 26
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\register\register.component.ts", "TypeScript", 0, 0, 91, 0, 0, 0, 37, 22, 150
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\register\register.module.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 3, 24
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\shared\Dialogs\ConfirmDialog\confirm-dialog.component.html", "HTML", 0, 0, 0, 0, 10, 0, 0, 0, 10
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\shared\Dialogs\ConfirmDialog\confirm-dialog.component.ts", "TypeScript", 0, 0, 37, 0, 0, 0, 0, 1, 38
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\shared\Dialogs\ConfirmDialog\confirm-dialog.module.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 1, 22
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\shared\Dialogs\ConfirmDialog\confirm-dialog.service.ts", "TypeScript", 0, 0, 32, 0, 0, 0, 0, 4, 36
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\shared\Dialogs\DuplicateDialog\duplicate-dialog.component.html", "HTML", 0, 0, 0, 0, 9, 0, 1, 0, 10
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\shared\Dialogs\DuplicateDialog\duplicate-dialog.component.ts", "TypeScript", 0, 0, 37, 0, 0, 0, 0, 1, 38
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\shared\Dialogs\DuplicateDialog\duplicate-dialog.module.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 1, 22
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\shared\Dialogs\DuplicateDialog\duplicate-dialog.service.ts", "TypeScript", 0, 0, 26, 0, 0, 0, 0, 2, 28
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\shared\Dialogs\ErrorDialog\error-dialog.component.html", "HTML", 0, 0, 0, 0, 9, 0, 1, 0, 10
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\shared\Dialogs\ErrorDialog\error-dialog.component.ts", "TypeScript", 0, 0, 37, 0, 0, 0, 0, 1, 38
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\shared\Dialogs\ErrorDialog\error-dialog.module.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 1, 22
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\shared\Dialogs\ErrorDialog\error-dialog.service.ts", "TypeScript", 0, 0, 26, 0, 0, 0, 0, 2, 28
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\shared\Dialogs\SuccessDialog\success-dialog.component.html", "HTML", 0, 0, 0, 0, 9, 0, 1, 0, 10
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\shared\Dialogs\SuccessDialog\success-dialog.component.ts", "TypeScript", 0, 0, 40, 0, 0, 0, 0, 1, 41
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\shared\Dialogs\SuccessDialog\success-dialog.module.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 1, 22
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\shared\Dialogs\SuccessDialog\success-dialog.service.ts", "TypeScript", 0, 0, 26, 0, 0, 0, 0, 4, 30
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\shared\shared.module.ts", "TypeScript", 0, 0, 106, 0, 0, 0, 0, 2, 108
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\components\applications\applications.component.html", "HTML", 0, 0, 0, 0, 70, 0, 0, 0, 70
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\components\applications\applications.component.scss", "SCSS", 0, 21, 0, 0, 0, 0, 0, 0, 21
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\components\applications\applications.component.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 4, 16
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\components\breadcrumb\breadcrumb.component.html", "HTML", 0, 0, 0, 0, 14, 0, 0, 2, 16
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\components\breadcrumb\breadcrumb.component.scss", "SCSS", 0, 19, 0, 0, 0, 0, 0, 0, 19
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\components\breadcrumb\breadcrumb.component.ts", "TypeScript", 0, 0, 69, 0, 0, 0, 0, 8, 77
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\components\flags-menu\flags-menu.component.html", "HTML", 0, 0, 0, 0, 27, 0, 3, 0, 30
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\components\flags-menu\flags-menu.component.scss", "SCSS", 0, 10, 0, 0, 0, 0, 0, 0, 10
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\components\flags-menu\flags-menu.component.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 5, 22
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\components\menu\horizontal-menu\horizontal-menu.component.html", "HTML", 0, 0, 0, 0, 30, 0, 0, 8, 38
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\components\menu\horizontal-menu\horizontal-menu.component.scss", "SCSS", 0, 32, 0, 0, 0, 0, 0, 0, 32
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\components\menu\horizontal-menu\horizontal-menu.component.ts", "TypeScript", 0, 0, 41, 0, 0, 0, 0, 5, 46
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\components\menu\menu.model.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 10
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\components\menu\menu.service.ts", "TypeScript", 0, 0, 60, 0, 0, 0, 0, 11, 71
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\components\menu\menu.ts", "TypeScript", 0, 0, 114, 0, 0, 0, 0, 9, 123
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\components\menu\vertical-menu\vertical-menu.component.html", "HTML", 0, 0, 0, 0, 29, 0, 0, 1, 30
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\components\menu\vertical-menu\vertical-menu.component.scss", "SCSS", 0, 45, 0, 0, 0, 0, 0, 4, 49
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\components\menu\vertical-menu\vertical-menu.component.ts", "TypeScript", 0, 0, 45, 0, 0, 0, 0, 6, 51
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\components\messages\messages.component.html", "HTML", 0, 0, 0, 0, 68, 0, 2, 0, 70
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\components\messages\messages.component.scss", "SCSS", 0, 50, 0, 0, 0, 0, 0, 0, 50
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\components\messages\messages.component.ts", "TypeScript", 0, 0, 35, 0, 0, 0, 0, 7, 42
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\components\messages\messages.service.ts", "TypeScript", 0, 0, 125, 0, 0, 0, 0, 8, 133
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\components\sidenav\sidenav.component.html", "HTML", 0, 0, 0, 0, 12, 0, 0, 6, 18
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\components\sidenav\sidenav.component.scss", "SCSS", 0, 48, 0, 0, 0, 0, 0, 4, 52
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\components\sidenav\sidenav.component.ts", "TypeScript", 0, 0, 36, 0, 0, 0, 0, 5, 41
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\components\user-menu\user-menu.component.html", "HTML", 0, 0, 0, 0, 28, 0, 2, 3, 33
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\components\user-menu\user-menu.component.scss", "SCSS", 0, 17, 0, 0, 0, 0, 0, 0, 17
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\components\user-menu\user-menu.component.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 4, 17
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\directives\detect-scroll\detect-scroll.directive.ts", "TypeScript", 0, 0, 22, 0, 0, 0, 0, 7, 29
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\directives\directives.module.ts", "TypeScript", 0, 0, 15, 0, 0, 0, 0, 2, 17
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\pipes\pagination\pagination.pipe.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 3, 22
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\pipes\pipes.module.ts", "TypeScript", 0, 0, 30, 0, 0, 0, 0, 3, 33
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\pipes\profilePicture\profilePicture.pipe.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 2, 9
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\pipes\search\chat-person-search.pipe.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 2, 16
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\pipes\search\mail-search.pipe.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 3, 21
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\pipes\search\user-search.pipe.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 1, 18
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\pipes\truncate\truncate.pipe.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 1, 11
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\styles\_base.scss", "SCSS", 0, 463, 0, 0, 0, 0, 4, 12, 479
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\styles\_libs-override.scss", "SCSS", 0, 97, 0, 0, 0, 0, 3, 13, 113
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\styles\_mixins.scss", "SCSS", 0, 14, 0, 0, 0, 0, 0, 0, 14
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\styles\_rtl.scss", "SCSS", 0, 140, 0, 0, 0, 0, 0, 11, 151
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\styles\_theme-reset.scss", "SCSS", 0, 118, 0, 0, 0, 0, 4, 6, 128
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\styles\_theme.scss", "SCSS", 0, 35, 0, 0, 0, 0, 0, 1, 36
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\styles\_variables.scss", "SCSS", 0, 12, 0, 0, 0, 0, 1, 5, 18
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\styles\skins\_blue-dark.scss", "SCSS", 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\styles\skins\_green-dark.scss", "SCSS", 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\styles\skins\_indigo-light.scss", "SCSS", 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\styles\skins\_pink-dark.scss", "SCSS", 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\styles\skins\_red-light.scss", "SCSS", 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\styles\skins\_teal-light.scss", "SCSS", 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\utils\app-animation.ts", "TypeScript", 0, 0, 49, 0, 0, 0, 0, 2, 51
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\utils\app-validators.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 2, 18
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\utils\custom-overlay-container.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 1, 12
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\assets\i18n\en.json", "JSON", 12, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\environments\environment.prod.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\environments\environment.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 11, 3, 17
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\index.html", "HTML", 0, 0, 0, 0, 17, 0, 0, 2, 19
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\main.js", "JavaScript", 0, 0, 0, 47, 0, 0, 0, 2, 49
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\main.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 4, 14
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\material.scss", "SCSS", 0, 8, 0, 0, 0, 0, 0, 6, 14
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\polyfills.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 55, 8, 64
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\styles.scss", "SCSS", 0, 58, 0, 0, 0, 0, 0, 11, 69
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\test.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 4, 4, 21
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\tsconfig.app.json", "JSON", 18, 0, 0, 0, 0, 0, 0, 1, 19
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\tsconfig.json", "JSON", 27, 0, 0, 0, 0, 0, 0, 1, 28
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\tsconfig.spec.json", "JSON", 18, 0, 0, 0, 0, 0, 0, 1, 19
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\tslint.json", "JSON", 91, 0, 0, 0, 0, 0, 0, 0, 91
"Total", "-", 23921, 1280, 2613, 100, 616, 14, 204, 528, 29276